CustomerID,Recency,Frequency,Monetary,RScore,FM_score,rfm_segment
15695,267,2,371.73,1,2,Hibernating
12845,268,2,337.09,1,2,Hibernating
15869,278,2,149.64,1,2,Hibernating
14570,281,2,198.15999999999997,1,2,Hibernating
14670,281,2,411.53000000000014,1,2,Hibernating
16405,303,2,167.25,1,2,Hibernating
17334,303,2,307.02000000000004,1,2,Hibernating
18095,313,2,550.2,1,2,Hibernating
17062,314,2,512.87,1,2,Hibernating
12735,316,2,390.97,1,2,Hibernating
15661,318,2,309.79999999999995,1,2,Hibernating
15213,319,2,328.34999999999991,1,2,Hibernating
15422,324,2,97.7,1,2,Hibernating
13434,75,2,534.24000000000012,1,2,Hibernating
16603,75,2,469.97,1,2,Hibernating
16689,76,2,363.59999999999997,1,2,Hibernating
14356,80,2,496.82999999999987,1,2,Hibernating
14965,97,2,514.05,1,2,Hibernating
17298,102,2,498.42000000000007,1,2,Hibernating
15224,359,2,244.13,1,2,Hibernating
17691,359,2,290.4,1,2,Hibernating
16499,361,2,294.54999999999995,1,2,Hibernating
16952,110,2,109.71000000000001,1,2,Hibernating
14813,370,2,121.43000000000002,1,2,Hibernating
16048,374,2,256.44000000000005,1,2,Hibernating
14024,122,2,314.95,1,2,Hibernating
17267,128,2,317.61999999999995,1,2,Hibernating
12743,135,2,441.12999999999988,1,2,Hibernating
14002,135,2,468.07999999999993,1,2,Hibernating
13730,136,2,578.35,1,2,Hibernating
17935,139,2,137.29,1,2,Hibernating
18024,153,2,362.83000000000004,1,2,Hibernating
18013,156,2,187.29000000000005,1,2,Hibernating
17391,164,2,508.8,1,2,Hibernating
16484,174,2,376.79999999999995,1,2,Hibernating
17900,191,2,97.199999999999989,1,2,Hibernating
15897,195,2,222.04999999999998,1,2,Hibernating
16832,204,2,87.3,1,2,Hibernating
18048,204,2,172.29000000000002,1,2,Hibernating
13711,219,2,232.16000000000003,1,2,Hibernating
14697,219,2,179.66000000000003,1,2,Hibernating
17501,221,2,275.85,1,2,Hibernating
15223,226,2,444.55000000000007,1,2,Hibernating
17991,226,2,67.850000000000009,1,2,Hibernating
15230,240,2,429.6,1,2,Hibernating
15424,255,2,383.34000000000003,1,2,Hibernating
14410,93,1.125,980.27,1,2,Hibernating
13715,282,1.25,1079.3400000000001,1,2,Hibernating
15581,157,1.25,687.63,1,2,Hibernating
18231,193,1.25,1790.5200000000004,1,2,Hibernating
15589,256,1.5,429.63,1,2,Hibernating
16997,289,1.5,702,1,2,Hibernating
13819,302,1.5,1114.85,1,2,Hibernating
14045,338,1.5,945.74999999999989,1,2,Hibernating
13217,123,1.5,533.98,1,2,Hibernating
16174,127,1.5,770.6,1,2,Hibernating
15334,157,1.5,341.71999999999997,1,2,Hibernating
13856,169,1.5,388.5,1,2,Hibernating
14823,181,1.5,241.03000000000003,1,2,Hibernating
17874,186,1.5,585.81000000000006,1,2,Hibernating
17550,198,1.5,198.41000000000003,1,2,Hibernating
16226,204,1.5,255.12,1,2,Hibernating
14573,180,1.2857142857142858,917.52,1,2,Hibernating
13752,125,1.2,1042.5800000000002,1,2,Hibernating
14176,298,1.3333333333333333,517.2,1,2,Hibernating
13963,309,1.3333333333333333,607.74,1,2,Hibernating
